파라미터,구분,제조사,대표차명,모델명,연식
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나,2019
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,현대,코나,코나,2018
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",국산,현대,코나,코나,2017
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2021
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2019
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2018
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2021
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2019
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2011
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2010"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2010
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2009"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2009
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2008
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2007
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2006
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2005
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2012"", ""searchStr"": """"}",국산,현대,클릭,클릭,2012
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2006"", ""searchStr"": """"}",국산,현대,클릭,클릭,2006
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2005"", ""searchStr"": """"}",국산,현대,클릭,클릭,2005
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2004"", ""searchStr"": """"}",국산,현대,클릭,클릭,2004
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2003"", ""searchStr"": """"}",국산,현대,클릭,클릭,2003
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C002"", ""menuPrye"": ""2002"", ""searchStr"": """"}",국산,현대,클릭,클릭,2002
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C003"", ""menuPrye"": ""2006"", ""searchStr"": """"}",국산,현대,클릭,클릭하이브리드,2006
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C003"", ""menuPrye"": ""2005"", ""searchStr"": """"}",국산,현대,클릭,클릭하이브리드,2005
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B023"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",국산,현대,테라칸,테라칸,2007
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B023"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",국산,현대,테라칸,테라칸,2006
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B023"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",국산,현대,테라칸,테라칸,2005
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B023"", ""menuModel"": ""C001"", ""menuPrye"": ""2004"", ""searchStr"": """"}",국산,현대,테라칸,테라칸,2004
