,파라미터,구분,제조사,대표차명,모델명,연식
0,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나,2020
1,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나,2019
2,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,현대,코나,코나,2018
3,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",국산,현대,코나,코나,2017
4,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2021
5,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2020
6,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2019
7,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C002"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,현대,코나,코나일렉트릭,2018
8,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2021
9,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2020
10,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B021"", ""menuModel"": ""C003"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,현대,코나,코나하이브리드,2019
11,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A006"", ""menuReprsnt"": ""B022"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",국산,현대,클릭,뉴클릭,2011
